label	text_a
0	“穷“少两撇😂
0	紫阳也说无法消化虚无力量
0	两个青阳子，不划算
1	“廖哲玲，我要刷台新卡去日本玩！”
1	楼上原PO内文就说除了香都之外的店了
1	SynologyLivecam好像可以但是要买NAS
1	还是我直接投爱情类的就好
0	过来人奉劝你，认真就输了
0	Lms只剩下赛评了
1	他游戏理解真的母汤
0	思考判断
0	自己打上菁英就觉得球没料了
0	居你饿死
1	S3看他实况我能上白金后来看阿森实况上钻石之后
1	接电脑可以...ap不行。ap换一台测试
1	喔...beta的意思可以好好google一下吗
1	偷都偷早安玮玮
1	早安眯眼粉都粉
1	之前虎扑有一篇狂吹纬来球评的
0	只会宣传搞公关的捷运公司
1	晚上再来看，上一集光是训练就看得肃然起敬了
1	Siakam活动力这么好结果战术都是球给可爱?
1	明明有小Gasol站高位暴龙可以一直做空切战术
1	未看先推推推!!!!!!
0	懒得走就不会去买。
0	陆版还有门禁卡功能的样子...
0	这家公司出包了不知多少次,但总有一堆子人在帮他护航.
0	siakam只能虐菜啦全队不敢打全传给KL
0	每个酸民的话都要在意的话人生就活得太累了他的观念我欣赏~
1	毕业后就直接宰掉庆祝吗??这也太神奇了
0	就说没钱!或者说最近也需要用到钱
0	有生之年就能看到环境被破坏殆尽也是很令人悲伤
1	要在大陆当主播也要很小心谨慎阿
0	不课啊，现在储值为了更强很没意思
0	世界一半以上的高楼在沙特??我真是长知识了!!
0	花500元剩下的存起来这样子会比较好吧
1	我是过了16岁才拥有自己的电话
0	人类总是不懂环境会反扑可怕
0	通常不克但真的要课就花一点点不然会上瘾
0	比特犬真的是好凶小心一点
0	会减少但是很难消失手拿著书本阅读的心情是不一样的
0	不希望倒是能寒暄一下！
1	哈哈真的是好有趣羊当学生
1	希望部会还是喜欢纸本
1	我自己还是比较喜欢到书店看看书的内容后再购买。
0	不好用有时候弄巧成拙反而更贵
1	会啊电脑没关家人一样帮忙关掉哈哈哈哈
1	好的料理真的令人期待又享受，再去酒吧喝几杯吧
1	习惯就好啦我们家也会有
1	其实这样真的会很累，看到最后就真的没有兴趣了
0	大家晚上会把电脑关机吗?我几乎都会关不然很热!!
1	看心情，我比较偏好有问题时会去问，没问就是想自己看
1	行销手法喜欢就去买来吃,好吃就继续买
0	打工魔王二期遥遥无期就是了二期遥遥无期就是了
0	https://imgur.com/WL9posd.gif
1	郭董也想吃林志玲
0	原来这个人这么糟糕喔~~~
1	说话很大方出手很小气这种人超多尤其上年纪的人
0	噁心又爱乱讲话的锅懂
1	说话很大方，可是出手很小气<-我信了陈崇美
1	小心哦
0	不奇怪
0	真的很糟
1	郭董：我一定严办梁小花到底！
0	外省小混混
0	这告诉我们,警察不能信检察官也不能信
0	方法跟手腕，逃过郭台铭的毒手一堆人还以为她拜金
1	所以乡民平常根本都在污蔑刘嘉玲刘嘉玲算是用很聪明的
1	推
0	嘘接地气这词
1	如果这篇属实，那王永庆算不错，至少都有负责
1	祝家人人早日康复!板主也保重阿
0	。版友不是你谁，没有必要为了大概而包容
0	看完这篇，要我我也不约了。唯一敢这样弄我的是我老公
1	大一点的家乐福有
0	JYP行销能力还是有够弱
1	推!
1	推～
0	怎么不想想自己做了哪些蠢事
0	可惜郭董太优秀了没人在意他私底下为人
1	推
0	仇人讲的话...所以说乡民的标准又浮动了...
1	推
0	选手也输人skt的bp也是很烂但也没那么惨因为选
0	领多少钱练多少角
0	我比较关注的是，电狼这把和在国内打LMS，SOP很相似
0	反正都能回台北
0	连FW都打不赢了，到底怎么幻想能出国就变强阿？
1	请问3a的自拍如何谢谢
0	结果事实证明只有FW能拿三胜，其他两队没出国的0-12
1	光是教练就四个了
0	去年世界赛后还有人迷信出不了国的比较强真的很奇妙
0	其实lms后勤算强了吧一堆被中国挖过去
1	推
1	实力决定高度你说练角哪有这么容易
0	ziv很少拿斗士不是ㄇ
0	依这把状态，雷西前排绿茶流，和夜夜后排流，都....
0	别急着吹JT那两个还没出国的
0	果粉看到自己被嘴了…也只能哭哭说文章可怜
0	铜牌的话我觉得辅助视野分数有35就及格了
1	海巨人已经是现在最强的sup了==
1	兴XD
1	想知道亲手腕亲第二次是即兴吗>/////<有看到网友猜是即
1	看看我们的风哥只要两只就能当职业选手
0	是贴在对方后车门吗
1	已站内唷～～
1	早点转业吧
1	借个FPX不错有机会跟IG一搏
1	跟我聊\@＿@/
0	郭台铭虽然说话很大方，可是出手很小气加薪会骗人吗
1	哈哈推楼上
1	陈靖吃吃吃！！！
1	晚上北车可
1	推
1	美，真美，真漂亮!
1	来七
0	人品败坏，还能支持也就代表你人品也有问题...
1	笑死
1	好厉害45岁就已经存一亿难怪一堆人要当明星呀
1	有远见的市府团队、加油！
0	真的有钱的人，也不会自己算钱……他们拥有一堆会计师
0	我相信DL从不让我失望
1	中肯，根本就是MAD的错，这种队伍当决赛对手，害FW
0	财迷心窍是迷财不是迷信!
1	借标题问一下如果是整个坐垫换包含里面海绵大概多少呢谢谢
1	那里不错说...
0	[半吉]仙鹤立高枝防他暗箭亏井畔刚刀利户内更防危
1	徐小隆下次试看看
1	推身家
0	摩托车也靠太近，是想钻嘛？也太大胆了吧！
0	业绩差)
1	营运职不见得必然等于主管职，有遇过做五年还是待窗口的(
0	分类怎么会是食记
0	弱队打强队逆风输掉很奇怪吗？不要把FW当IG好不？
1	Otter不是有正面封住的壳
0	承认LMS就是比较烂的联赛一点都不难啊，到底哪里看
1	早安
0	微星赛牛比==
1	谢谢楼上几位分享，我去碰碰运气
1	订起来，卖出去?~
1	水桶试试啰
1	杨木昜SunnyYang大杨黄崇玮
0	去妈宝版搜寻鸽子，会看到可怕的文章！
1	踩得所有人都比他们赚得多...笑死
0	大力支持原PO的回应，完全道出小的心声
0	赚得钱也能超过踩的人就好了......
0	虐菜跟花式虐菜的差别而已
0	最近怎么这么多柴犬阿!?大家是购买还是认养的啊??
0	老二出问题应该是<老二生病死日游>不是<生老病死二日游>
0	民进洞议员面对韩的悲剧三步曲（设局、挫赛、踩到滑倒）
0	叫小姑拨虾壳可以说这是你妈妈又不是我妈妈
1	推加油
1	Lms加油...
0	5/20之前第一次抽票
1	你忘了他的朋友是指他的顾客嘛！有十个顾客算不错了。
0	大卤桶跟施家卤味
1	02-29603456（按9由专人为您服务）。网站上写的
1	第一题应该是D吧
1	呵呵
0	没有，早就不看LMS，快点下去比较实际
1	都是要去看飞可TSperkz等的啊狼不是重点
0	要承认LMS的玩家就是比较弱，是很让人不甘心的事情
1	见效长知识了
0	原来口耳相传比经纪公司砸钱宣传还
1	法,是不是符合你心目中理想的方式?
1	candy大早安,不知道以你的角度,觉得吴瑞北教授的想
0	昨天中午有一通来电没接到，看whoscall是中华电信营
0	真的认不太出来姐姐了
1	[早安]
1	[早安]
1	本日最窝心
1	一大早吃好一点
0	不把你财产充公就不叫共产党
0	这么惨
0	混吃等死油嘴滑舌
1	笑他们不敢
0	爱演戏的儿子加上爱现的母亲，还爱干政，屁屎
0	推那个冷气好恐怖啊啊啊啊
0	我想战死
1	推
0	该复仇了
0	人家市长有老花眼当然要荧幕大一点😅😅😅😅
1	推
0	锦上添花是这样用的吗？
0	还在审核...又不是马上能成案....
0	他如当选以后不必再投票了……😭😭😭😭😭😭
0	带碗依然是最大赢家
0	强烈呼吁将此物送去喂猪!!
1	推
1	还是希望能在台北舞台上见到你们
1	回来台北吊着打我们应该是疯狂欢呼吧？
0	如果统一，拆光光就不用斗了
1	台北见电狼
0	FW光看成员水准跟去年GRX也是半斤八两
0	问题是藏招还是虐尿狼
0	看去年表现GRXMAD根本不如PVB
1	防守外线都更好
1	可爱比MJkobe高壮
1	测速的ping参考就好还是要看你玩游戏的ping值
0	我好像有遇过，记得把其中一个删除掉就好了
1	请问是永贞路靠近哪里谢谢
0	阿扁手抖一下就挡住了
1	闪电狼加油
0	当四强水准有那么低吗
1	A:天国人
1	推
1	这次是TL太送不然成绩跟GRX一样只赢外卡很正常
1	，如果有问题请医生写转诊单会比较快，我本人的经
0	花俊宏跟蔡铭修都是专门看癌症的，不好排，建议先
1	最重要的jg早安你有看到吗？（挥手
0	Q：圣女贞德是哪一国人？
0	现在满街都是
0	惜妳老木！先担心妳自己年底要被罢免吧！
0	看来中美要走上谁怕谁了！
0	多军傻眼
1	司令又领钱了赞！
1	准备再接多单啰
0	有人在硬撑不下去杀个爽再说？
0	好在有拉开停损设赚一点点差点就大赔了
0	我一直以为他只是个屁孩⋯⋯
1	要看看娶这里的女生他们有没有提供聘金
0	可能要看场合还有状况...依照不同情境配合不同颜色...
0	现在连作业员都要靠关系了吗...
1	会啊.而且万一不幸发生车祸.责任分配也比较有保障
0	先观察状况如果晃动太过严重还是会往出口冲的
1	原则上是这样的'毕竟要给小孩一个好的示范以身作则
0	中美真打起贸易战的话，台湾也闪不掉.....
0	等16gb破1300元入手历史新低1600左右
1	一般穿黑白好配但也会偶尔配鲜艳一点的
0	能不接触就不接触小心不要被害真要害我，我也挖洞给他
0	早上你也没办法...晚上的话就报警吧...不要自己去处理
1	时代力量嘛.在黄老师的领导之下.哈哈...影帝ㄝ...
1	只要你们小俩口同意也有共识...那就好...祝福你们
1	ETF确实是个不错的投资工具多学一招
0	如果敌人不是在海上，而是在岸边呢?
1	到货了~下次再请妳帮忙啰，tks
1	到货了~下次再请妳帮忙啰，tks
1	推推~~很有效率的代买，今天汇款隔天就
1	推推~~很有效率的代买，今天汇款隔天就
0	差点被做掉的你，一辈子恐怕随时都是生死一瞬间
0	*找
0	助猫着主人。
0	补血，帮高调，某些人的重点是神棍，但原po的重点是帮
1	帮补血，怎么忘记先扫晶片啦XD
0	也别太相信一方之词，感觉有些内容没说清楚，双方都有问题
0	跟蓝尾们一样噁心
1	好了啦再不自删我要检举啰
1	小米9水下测试
0	应该不超过两年吧
1	命运好好玩粉丝团
1	手游课金看直播都会赞助一下
0	偶遇过的~改过名字的~不见得都过得好!!
0	应该干脆就买瓶水了吧
0	星巴克，或者自己煮超商的咖啡看要....
0	有阿这样比较干净不然牙签不好弄
0	如果实用性高，还是会选择购买，能够解决问题
0	没有吧!非常不解.饮料就饮料
1	会阿因为毕竟太常用手机了所以花在这上面我觉的很可以
1	有需要又有实用的会一分钱一分货
1	几乎不会晚上起来尿尿耶常常都是早上很急着要去尿
1	有下有回感谢..
1	个人比喜欢看小说，只花过钱在看小说的APP上
0	以前学校会要求用牙线，现在我个人部会用牙线太麻烦了
0	不会，目前为止还没有过以后也不打算有
0	上去又下来上面不知套了多少人
1	没事多喝水....多喝水没事....
0	应该都要双薪家庭才能负荷到得了
1	一双上班两双放假外出基本上每一双都会平均的穿
0	改不改不重要，重要的是心境改变了才有效
0	跟饮料点买水请问你用什么装阿?
0	看看道琼再看看A股只能从股票去看谁受伤大了啦
1	这很正常吧不过很少饮料店有水呢
0	名字跟人生有什么关系我觉得我现在的名字蛮好
0	会花钱在游戏程式中，但之后会心痛钱被花掉
0	请问老英菜桶，台湾有个里长？
1	如果睡觉前喝太多水的话,就会起床上厕所
1	只要是有用的,当然愿意付钱～
1	有时候会，有时候一觉到天亮就不会半夜上厕所
0	还没开始吧
0	在这边匿名劝人家生不用负责啊~~连你是谁也没人知道呢~~~
1	XDD
0	看来连基本经济贸易常识都没有只会被名嘴洗脑可怜
0	说签服贸会统一?那中韩也签了自由贸易协定有统一?
0	噁心简直不要脸
0	的讲义都是老师自掏腰包，因为地球村的课本内容不多，如
0	这厂工应该是韩国瑜派来的什么都不会上来先唬烂一轮
0	不推荐的原因是不管认真不认真教学薪水都一样低薪，所有
0	纯推~我都还没去，它就关了QQ
0	不会结束了高雄人自甘堕落结局会跟苗栗花莲一样
0	被开骂，当下哪里还会回嘴。你的烦恼不仅太遥远，甚至可能
0	没人QQ柯选的话时代会和柯合作吧
0	没住一起，一年不过就几天回去过节，回到家东西没收好直接
1	我有追踪她脸书推
1	时代力量加油
0	我觉得长牙还是会哭一下！我儿都边哭边摸牙龈
0	跟你讲这内容没业绩啦当然没有丧尸团
1	推
0	他本来就以替补为主
0	木村：回家啦たつき/细谷：回家吧木村/东电：回家吧细
1	艾伦嫩拉,对北野的爱只有这样而已,还想说去日本可以看艾伦
0	再十分钟就要爆了
1	推
0	每次看到视野不同我都@@？？
1	这类绿叶有个生涯年已经不错了
1	光年纪就不可能练永维阿飞回来ss还是他的晨威去外野奔跑
0	为什么要两个版各贴一次啊=___=
0	中华民国的企业本来就叫中资
1	把刚才的谢谢还给我
1	很好啊
0	怎么不是死刑？？？
1	加油💪
1	加油💪
1	感觉很帅?
0	我最讨厌的就是麦肯锡
0	所以这边是医学系班群哦看来我走错棚了抱歉...
1	B1谢谢你的建议！请问旷野之心是Dior的吗？
0	好事阿回家看阿公不好吗Q_Q搞不好是阿公带他回家的
0	蒋渭水看到现在的柯怕不气到复活
1	喔喔喔喔美脚欸????
0	所以呢？不是说了收钱就要交场地费，所以才收发票吗？
0	继续嘘啊
1	鬼灭之刃op好好听
0	继续嘘啊
0	有脑笑死不就看风向就有一堆无脑肥宅挺
0	上次出来就年假长不爽除夕加班
0	拜托帮修注音杀
0	今晚站稳677空军就母汤惹0.0
0	伤了欧倪不然牛棚更ㄕㄚˉ
1	推十七～好希望看到她们三人一起领奖的画面QQ
1	毒米出得去，中资进得来，厂工发大柴XDDD
1	高谭市是真的
0	夭寿，都几年了还用这招
0	没实力只好耍脾气
1	终于有初恋！！
0	他在日本的时候最好敢这样
1	这作品应该可以变经典不下于草莓东西之争
1	A大这样说起来真的很成长耶XD
1	索尔:奥格玛民调被动参战
0	这种条件就想搞"园区"是骗大家还是骗自己?
1	加油
0	至少应该能站稳一军原来是生病了希望他还能回来球场比赛
0	连馆黑都不信
0	你怎么不用林肯名言来叫柯师父不要整天想报仇
1	推事必躬亲
0	两个版本都丑死了，加市长图案也是莫名其妙
0	后来的补选贿选的二代还是有一半补进去
0	抽黑贞出阿提拉眼神死中
1	你是好人
1	高雄50岚珍奶才45
0	以不意外
0	知情且操作那是邪恶就算不知道好了那也是无能
1	还有他们之间的互动，另外阿雅的志向是当游侠，所
0	垃圾民进党都分工好，谁当白脸，谁当黑脸，谁当洨狗
0	蠢蛋就是蠢蛋
0	原来五毛的起手式就是你是党工原来如此
0	果然是毒瘤
1	买雅玛哈
0	都上任多久还在搞代言人?
0	谁说秃吉秃了?还是那是口头禅?像妙蛙种子喊种子?
0	被安乐死或被毒死夹死还是被煮成香肉锅才要出来假靠北
1	连民主的西班牙都坚决禁止加泰隆尼亚独立更何况本岛XD
0	动保团体勒哑巴了啊还不快去把野狗抓回去供奉不要等到
1	开放外劳开吃吧
0	只能说你人品不好
0	内衣罩杯不合才容易看到
1	不管！有开团我也要进群组一起喇赛(欸有说要开群组？XD
0	你是不是想______
1	吃完热炒再唱歌~就这样开团了
1	钱等等，让媳妇揹黑锅
1	强迫推销开始了小心洗脑
1	要先看看有没有加值，有加值当然不会乱骂XDD
0	但背后都跟自己的婆婆妈妈，说媳妇都不用工作都花儿子的
1	下一任邮局董座人选出现啰
1	做白日梦，我亲戚在她儿子跟外人面前一直说媳妇很好等等，
1	推
1	推
0	阿Q很好阿，不能改变的事实难道要一直崩溃给其他酸
1	他现在全队资历最老啊当然队长
0	你只是想干人家而已呕呕呕呕呕
0	阿Q胜利法
0	但跟其他人比真的没有好到必须入围+1
0	问毒瘤啊…
0	地板没防滑？
0	会挤破头应征吗？
1	FW是Bettycaller没错
1	讲的好像标到不用租金，不用花钱投资设备一样
0	韩援JG国际赛就是来戳的FW把JG换掉+换主CALL
1	教的地方，待在欧美他们会比较开心
0	pchome不是已经全拿了？你们在吵什么？
0	别只切割新潮流，你们DPP都是这种嘴脸
0	夯骂吗
0	烫坏了吧⋯⋯
1	小琉球那边太阳已经出来了哦？
0	好像太肤浅了哈
0	因为长大了能够控制自己的生活了吗?
0	他对人的判断一直蛮有问题的（例如韩...）
1	不错的测试不过我觉得实际使用上并不会感觉的到差异很大
1	晚安
1	柯很小看习
0	才两百万课长不知道几亿洒给黑橘了
0	呕
0	麻痺惹再,也没有熟悉的感受惹
0	已知用火
0	习要是谈得了，他今天也不用跟川普打贸易战
0	五楼认为自己肛门低人一点所以一直在尝试各种肛
1	若基本人权的范围那么小，那保护这也没啥好说嘴的
0	竟然转到我的子帐户里，难怪昨天没看到
1	推~XDD
1	疯狂做菜
0	胖丁怎么可能没人追，自拍照丢上来看看
1	楼上这是拉斯塔哈大混战的主题曲
0	不过现在回头去看，好险当时没牵==
1	好羡慕唷都没人爱我
0	看透可版说饲主接回去了似乎是饲主纵火的.......
0	我打炉石怎不知道这啥
0	国中差点就要牵起那女孩的手了
0	噁心炉石智障游戏滚去专板发文
0	粪作过气游戏
1	男的小姐姐？
0	公三小
1	你他妈要不要看现在几点
0	我国中牵着脚踏车却牵不起她的手呜呜呜呜
0	B4他是男生不是破麻
0	因为担任军事任务不是基本人权
0	想被吉喔
0	怎么这次日记那么短
1	晚安
0	点进来之前看到猫图，还以为是养一只猫当女友
0	拜托快关，别给机会
0	脸丑还有救，心丑就完了
1	自愿当肉便器跟交朋友是两回事
1	呵呵呵
1	说早安顺便叫我起床谢谢
0	做功德结果还被嫌弃增加业务量呵
1	虽然总对不上P酱的电波，可是状态很好的对应依旧美好哪～
1	假议题这也是柯自己讲的学姐帮辩护就被打的满头包
1	主流还是以日间部为主大学有办夜间部护理的学校不多
0	朱榕基曾庆红温家宝开始借贸易战发难今年的北戴河
0	派没看十九大他和胡锦涛有多紧密不过最近江泽民
0	当第一个门号不然就换号花钱
0	习近平能快速掌控最大原因是胡锦涛挺他挺到放掉团
0	LM211不是主号就过户吧看有没有认识的亲友小孩需要
0	2楼记得收传票~;-)
0	我家没冷气，今年到目前为止睡觉连电扇还没开
1	加油女孩～你会走出来的！
0	都知道要弄相关的东西搞观光。结果乘车的风景要被迫改
0	从哪抄来的?从哪抄来的?
0	杨梅有吃闷亏？自以为喔？算了反正政客也不会搭火车
0	这次是柯自己捣的蜂窝，要是真出这种剧情我无言
1	我可以帮你不过等我这礼拜比赛结束180/8512%
0	中国靠输血业务就已经创造数千万爱滋病患了
1	好想帮你画重点ㄛ
0	聊看看怎样的手好抽
0	一二楼整个专业
0	觉得柯心态的确如此
1	我家都只有1x而已，b38不稳，对我大多情况还是lm好
0	我反而是比较想用lm的，之前没办到觉得可惜，亚太在
0	他这么会选边就不会差一点落选
1	草泥马对面T1丢两只无边黑暗我T2全叫醒
1	中肯
1	这篇很精准，一定要推~
1	白粉:等逐字搞
0	聊抽血几次抽到吗
1	要经营一段良好的三角关系才是阿
0	师父明明就不擅长处理多重关系，但偏偏爱嘴别人，应该
1	推推
1	为跪舔就能化解危机?XD
0	今天若有人说要对柯文哲和柯粉不利，难道柯文哲和柯粉认
1	柯连自己的人际关系都有问题教人友中亲美笑死
0	柯市长智商１５７你多少啦？智商比柯高再来说嘴好吗
0	柯粉的脑袋真的不考虑替地球减压?
0	瑞士中立才有机会和平~一开始就说要扁德国你看会被干爆吗
1	其实希特勒还偷拟了个圣诞树行动想偷袭瑞士只是最后没打
0	你以为勒。瑞士拿的是全民皆兵的超级刺猬战术才活下来的
0	川普的诉求很简单，不就是公平对等的贸易竞争而已
1	瑞士实施“全民皆兵”的义务民兵制，并未放弃武装力量
0	比利时两次大战都喊中立阿怎么都变战场呵呵
0	因为马英九的监察院弹劾柯文哲把他往死里打
0	之前就有个韩导乱举例瑞士柯粉是要证明水准跟他们一样?
1	蔡英文哪边反中了?柯文哲和柯粉说了算?XD
1	疴美国本土从来没有变成战场过呢除了内战啦XDD
0	这篇没哪部五楼自肛
1	支持朱立伦。
0	他们不是故意讨骂剧访早就拍好了我是双D会希望HBO
0	美国就是想捞回本，没有别的意思
0	什么打打闹闹都是假的，断交才是真的
0	没有断交都不算，第一天认识美国腻！
1	柯粉的智商真的很棒XD
1	系中争取最大利益!这才是最高战略
0	当时中立的荷比卢丹麦挪威那一个没被德国打下
1	会理你吗
0	难道跟川说再中国不能课
0	为什么两大国打起来一定是中国变战场?说不定是美国被炸烂
1	柯粉活在seafood的泡泡中不会醒的
0	瑞士为了生存不得已和纳粹签协议但还是准备挡纳粹的袭击
0	同业要聊什么今天血抽了吗这样
0	这两个的因为所以逻辑我不太懂因为肚子饿所以要去骑马
0	太后应该弄有8根插槽的平台阿，16*8
1	我难过的是
0	那推荐什么牌的乳液吗????????
0	不能太细要割皮直ㄉ
0	B4也太可惜了吧????
0	B7我应该不会太细要参考看看吗
1	不要太细的其实都可以哈哈
1	B4我来陪你呀
1	好性感想问你性向～-礼物妹妹????
0	B4圣人模式on
0	我也觉得乳液好一些不然用凡士林出的乳液啊????????
1	推阿珠，好吃
0	我也好奇????
1	想要听你昨晚故事
1	我这里有一批芒果好便宜
1	很棒哦~乖乖
1	好奇+1我问很多他们都喜欢上翘
1	青筋手可以吗
0	用凡士林还不如用乳液？比较水呀
0	乳液比较好吧....
0	干还真的是王饼中教的三角形......
0	那个血管啊嘶
0	放弃嘘放弃的箭头还推歪忍住按y
0	https://www.plurk.com/p/lfin5l
0	https://www.plurk.com/p/md3sa0
0	https://www.plurk.com/p/l4hcqy
1	险的户外
0	红明显，不要放养。要喂就收编牠，爱牠就别让他活在高危
1	下榜谢谢谢谢谢谢
0	毛都剃了怎么还显得那么短
0	.....
1	有人追也是很幸福的啊
1	乖要不跟我聊好了
1	B14乖我在等你欸
1	B14我秀秀（搂着妳
1	真是超好听的
0	坦白讲啊………
0	120炮…搬了整整一年真的重
0	ROG信仰不知道这样的散热能力好不好?
1	楼上，可以煎蛋了吗？
0	不知道是不是天气变热12.3滑IG也超烫
